label_target	label_others	model	epoch	loss	accuracy	precision	recall	model_path	model_init	col_labels	col_corpus	splits	ngram_size	vocab_size	batch_size	cbow
News & Politics	[]	model_0_wordembavg_2linear	0	0.3000558663159609	0.9203835234045983	nan	nan	models_wo_captions/unigrams/politics/model_0_wordembavg_2linear.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_0_wordembavg_2linear	1	0.305948905646801	0.9199928984045982	nan	nan	models_wo_captions/unigrams/politics/model_0_wordembavg_2linear.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_0_wordembavg_2linear	2	0.49859336530789733	0.9141335234045982	nan	nan	models_wo_captions/unigrams/politics/model_0_wordembavg_2linear.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_0_wordembavg_2linear	3	0.7480202788021415	0.8961647734045982	nan	nan	models_wo_captions/unigrams/politics/model_0_wordembavg_2linear.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_0_wordembavg_2linear	4	0.8988821048289537	0.8539772734045983	nan	nan	models_wo_captions/unigrams/politics/model_0_wordembavg_2linear.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_0_wordembavg_2linear	test	0.9659349665045738	0.8743607968091964	nan	0.02222222276031971	models_wo_captions/unigrams/politics/model_0_wordembavg_2linear.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'linear1': Linear(in_features=100, out_features=50, bias=True), 'linear2': Linear(in_features=50, out_features=1, bias=True), 'relu': ReLU()}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
label_target	label_others	model	epoch	loss	accuracy	precision	recall	model_path	model_init	col_labels	col_corpus	splits	ngram_size	vocab_size	batch_size	cbow
News & Politics	[]	model_1_cnn	0	0.47964463584357875	0.9203835234045983	nan	nan	models_wo_captions/unigrams/politics/model_1_cnn.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'convs': ModuleList(   (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))   (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))   (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1)) ), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_1_cnn	1	0.4480809230357409	0.9078835234045982	nan	nan	models_wo_captions/unigrams/politics/model_1_cnn.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'convs': ModuleList(   (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))   (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))   (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1)) ), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_1_cnn	2	1.335856128063341	0.9199928984045982	nan	nan	models_wo_captions/unigrams/politics/model_1_cnn.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'convs': ModuleList(   (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))   (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))   (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1)) ), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_1_cnn	3	1.8061752012463899	0.9170809656381607	nan	nan	models_wo_captions/unigrams/politics/model_1_cnn.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'convs': ModuleList(   (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))   (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))   (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1)) ), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_1_cnn	4	2.3210775193252458	0.9067471593618393	nan	nan	models_wo_captions/unigrams/politics/model_1_cnn.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'convs': ModuleList(   (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))   (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))   (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1)) ), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
News & Politics	[]	model_1_cnn	test	2.7419599860906603	0.9048295468091965	nan	0.0	models_wo_captions/unigrams/politics/model_1_cnn.pt	{'embedding': Embedding(25002, 100, padding_idx=122), 'convs': ModuleList(   (0): Conv2d(1, 200, kernel_size=(3, 100), stride=(1, 1))   (1): Conv2d(1, 200, kernel_size=(4, 100), stride=(1, 1))   (2): Conv2d(1, 200, kernel_size=(5, 100), stride=(1, 1)) ), 'fc': Linear(in_features=600, out_features=1, bias=True), 'dropout': Dropout(p=0.5, inplace=False)}	category_id	['title', 'tags', 'description']	[0.4, 0.4, 0.2]	1	25000	64	False
label_target	label_others	model	epoch	loss	accuracy	precision	recall	model_path	model_init	col_labels	col_corpus	splits	ngram_size	vocab_size	batch_size	cbow
